"Day","Title","Start","End","Facilitator/
Host camp","Location","Category","Vibes","Description","Comments","KID FRIENDLY","SEX POSITIVE","QUEER INCLUSIVE","ADULT ONLY","SOBER ONLY","Warning: Sensory content ","Warning: Triggering"
"Tue. 21 July","BJ/Oral Speech Competition (*BJ is a gender neutral term)","17:00","18:30","The Oral Orators / Spaceport","Lowlands, grid square P12. Dome by the tall pink temple, Lowlands","Music/Performance/Show","🦍 Adults only · 🖤 Sex positive","Who can hold the best speech while having their partner doing their best to sabotage their speech? Compete in Classical style, Music Style, Double / Debate, Amateur style (motionsklass) or Free-style.","","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","Life Force Activation LFA – Awaken Your Inner Energy","17:00","19:00","Dee / ❤️ The Heart ❤️","Highlands, grid square M11. Look out for the flag with the big heart on it!","Yoga/Movement/Bodywork","🦍 Adults only","Discover what happens when you stop trying and simply allow. Life Force Activation is a unique energy experience that can bring greater aliveness, freedom, connection, and inspiration. Limited to 15-20 participants. To support a safe container, please attend substance-free.","","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","Myth Constellation","17:00","19:00","Lila / The Wild Sacred Fire","Swamp, grid square S17. Ask for or look for the Vanaheim, the big tent next to the fire.","Yoga/Movement/Bodywork","🦍 Adults only","Myth Constellation is a small-group ritual where dreams, stories, questions and inner images are given bodies. A gate, creature, child, forest, longing or hidden gift may step into the room through a participant. Through movement, sensation, speech and witnessing, we listen for the myth already moving beneath ordinary life.","","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","Diatribe - The History of Misogyny, Parts 1-5","17:00","17:30","Anustotle","Sunny Hills, grid square I20. Exact location will be decided on site. Probably somewhere around the Sunny hills.","Music/Performance/Show","🐵 Kid-friendly · 🚨 Triggering themes","A series of presentations on how humans wound up with Patriarchy.
Lesson 1 - The First 96% of Human History
Lesson 2 - Earth Goddess vs Sky Father
Lesson 3 - Conquest and Control
Lesson 4 - God Hates Women
Lesson 5 - A Path Forward","Recurring: expanded to 6 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Tue. 21 July","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"Tue. 21 July","Let’s pray?! - Trusting the Mystery","17:30","19:00","Lisa / The SUN","Sunny Hills, grid square I21. We meet at the SUN temple and have our circle close by","Ritual/Ceremony","🌈 Queer-inclusive","In the West we often are sceptical of prayer, associate it with dogma. But what if it could offer us a deeper connection to life? With the help of tobacco in the tradition of the Camino Rojo we share our hearts, our wishes for the week and offer gratitude to the land.","","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","exKatic paWty","18:00","20:00","Stina / Cuddle Cove Piazza","Wedge, grid square R22. We're located in the Wedge neighbourhood, across the road from a swamp with a massive rock","Party/Gathering","🐵 Kid-friendly","Nip in and get to know the good, the bad and the cuddly cats that likes to stretch out in the Cuddle Cove. Let's see yo pawty paws pickin up on that feline beat - cuz everythin else is obsolete!","","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Opening Party with a bouncy electronic set","18:00","20:30","Lulu / Elven Saunacave-DOME","Sunny Hills, grid square H22. just by the big lake Alversjoe","Music/Performance/Show","","Elven saunacave Opening and Dome Afterglow
Welcome to the Saunacave and Dome!
After the heat, drift over to the Sauna cave DOME to enjoy 
the beautiful atmosphere and melt into the music program.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Flow Prop Playground","18:00","19:00","Fire Brigade / Fire Brigade","Swamp, grid square S16. In The Swamp at Fire Plaza, a gallery and red carpet area opposite the large tent of CIRCUS the ANALOG.","Yoga/Movement/Bodywork","","You keep seeing these mythical creatures playing with fire and lights? Anyone can learn it! This is an opportunity to try out different toys and learn some tricks. No matter if you’re completely new to flow arts, want to try a prop you haven’t before, or practice one you know well.","Recurring: expanded to 4 days (Mon. 20 July, Tue. 21 July, Thu. 23 July, Fri. 24 July); shown on: Tue. 21 July","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","KISHMASTLE PARTY - Sounds of Xythwera-4Q2 (Techno/DnB/Dub)","18:00","0:00","Kishmastle Spacestation / Kishmastle Spacestation","Muumin Valley, grid square F10. From sanctuary-follow the forest path toward the valley. Where the forest meets the valley, take a left and enter the gate of Alvheim, cross the bridge on your right and enter the spacestation (or look for a big ass spaceship and listen for banging music)","Party/Gathering","💥 Sensory content","Starship transmission incoming! We navigated the neon depths of Xythwera-4Q2, a world of autonomous robots mining rare cyber-crystals to slot into motherboards for high-voltage fiestas. Our drones captured the raw, heavy metallic resonance of mines blending with erratic modular synths of underground raves. Unleashing files tonight: prepare for driving techno, raw electro, and industrial beats that rewire your systems!","","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"Tue. 21 July","Swedish Folk Songs for beginners","18:00","7:00","Teresa / Njorunn's Garden","Downtown, grid square M20.","Workshop/Class","🐵 Kid-friendly · 🌈 Queer-inclusive","Teresa teaches a few traditional songs from Sweden, and shares some basic tips about rhythm and singing style/ornamentation in Swedish folk music.. Swedish language skills not required, as long as you're willing to learn phonetically. Expect lyrics about alcohol, misery and death. Also expect to not be able to get the songs out of your head afterwards, because they are absolute bangers.","","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Shisha night at Socialen","18:00","21:00","Socialen","Bison - South, grid square O22. Sunset plaza","Food/Drinks","","The Playa is transforming from daytime playground to nighttime adventure. Rest your legs & butts, meet new friends over shared shisha and tea, and prepare for the adventures of the night!","Recurring: expanded to 2 days (Tue. 21 July, Thu. 23 July); shown on: Tue. 21 July","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Sensual Oasis","18:00","21:00","The Djinns / The Genie's Lamp","Highlands, grid square N13. Agrabah Village, in south eastern Highlands","Ritual/Ceremony","🦍 Adults only","The Djinns of the Lamp urge you to spoil each other's senses, with rich tea, lush smells, tasty treats, and sensuous massages. This is an open space to relax and interact, with Djinns and other mortals alike: an atmosphere of indulgence.❤️‍🔥","","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","The Wound Behind the Ego","18:15","20:15","Jens / Tantric Trolls","Highlands, grid square N11. Penta Plaza","Workshop/Class","🦍 Adults only","Narcissism lives in the gap between shame and self-love. In this workshop, we look at the ways we defend, perform, and protect ourselves — and what it costs us.","","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","It's Jazz, baby!","18:30","19:30","Becca and Michaelangelo / End of the Block Lounge","Swamp, grid square U16. We are where The Swamp, The Missing Piece and The Lowlands meet!","Music/Performance/Show","","Rebecca Bergcrantz and Sven-Erik Lundeqvist are teaming up on a piano vocal duo to bring the city a solid set of both classic standards and new compositions for all the Jazz aficionados of the city. Bring your own blanket or borrow one from us.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Surreal Circus","19:00","1:00","Hannah Bacon / Circus the Analog","Swamp, grid square S18. Huge Circus tent","Yoga/Movement/Bodywork","🦍 Adults only · 🌈 Queer-inclusive · 🖤 Sex positive","The Surr3al Circus is a 6-hour immersive journey of sensual workshops, performances, DJs & curated play spaces. Doors open once only, 19:00–19:30. Bring one large towel. Gender balance is a priority, so come with someone—whether you play or leave with the same person is entirely your choice.","","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","BorderLAN 2002","19:00","22:00","Jonas Johansson / Dreamers Maze","The Villa, grid square K14.","Art/Installation","🦍 Adults only · 💥 Sensory content","The BorderLAN returns and the year is 2002. During the day you are welcome for unsolicited play, and in the evening a party of four can book a 45-min slot and enjoy an authentic 2002 LAN experience. Learn more and book at www.borderlan.land.","Recurring: expanded to 2 days (Tue. 21 July, Thu. 23 July); shown on: Tue. 21 July","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"Tue. 21 July","Bistro Francais Happy Hour","19:00","20:00","Le Bistro Francais","Lowlands, grid square Q12. We welcome you at the Lowlands Plaza","Food/Drinks","🐵 Kid-friendly","Happy Hour à la Française! — Sparkling wine, peanuts, and the art of l’Apéro.","Recurring: expanded to 6 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Tue. 21 July","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","THE RELEASE Transformational Breathwork","19:00","21:00","Om / Yggdrasil","Highlands, grid square O10. in the big Tipi","Yoga/Movement/Bodywork","","Still breath. Deep rhythm. Ancient pulse. A journey into what holds you back — old patterns, buried emotions, inherited stories. Move through them. Release them. Return clean, open and alive.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Impale Your Dough!","19:00","22:00","","Find a campfire and hope that we're there","Food/Drinks","🐵 Kid-friendly · 😇 Sober · 🌈 Queer-inclusive","We’ll make dough, collect+sharpen sticks and bring everything to bonfires around Borderland and feed the hungry masses.","Recurring: expanded to 3 days (Tue. 21 July, Wed. 22 July, Thu. 23 July); shown on: Tue. 21 July","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE"
"Tue. 21 July","Body appreciation workshop","19:30","21:00","Lis and matty / ❤️ The Heart ❤️","Highlands, grid square M11. Look out for the flag with the big heart on it!","Yoga/Movement/Bodywork","🦍 Adults only","Join a safe, loving space to appreciate diverse, unique bodies in the nude. Pair up multiple times, observe, and be observed, ending each interaction with sharing and appreciation. Explore nakedness non-sexually. Come open, curious, and welcoming! 🥰","","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","Oriental Jamming","19:30","20:30","Tribe's Caretaker / The Tribe","Highlands, grid square N13. Somewhere in the Agraba Village in Highlands. Search for drumming sounds and weird chants","Ritual/Ceremony","🐵 Kid-friendly","Free acoustic jamming with an oriental touch. Bring along any instruments you have. Or just bring yourself, if you can find it. Open to all, no music experience required.","","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Words on Stage!","19:45","21:15","Michaelangelo and Lin / End of the Block Lounge","Swamp, grid square U16. We are where The Swamp, The Missing Piece and The Lowlands meet!","Music/Performance/Show","","A mirthful and eclectic blend of poetry, literature, comedy and spoken performance to inspire, entice and orientate the perspective’s palate before venturing out into the evening. There will be a sharing portion too on the tail end if anyone feels inspired.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","DanSINg: Disco & Funk Night","20:00","2:00","Club SIN","Bison - North, grid square N19. By the Shameless Plaza","Music/Performance/Show","🦍 Adults only · 💥 Sensory content","20:00 LIVE: Abe Raham
Rich vocals and upbeat retro soul
21:00 Pony Princess
Classic disco/soul for the old-school sexy
22:00 Dr Phil
Funky, soulful house bliss
23:00 Los Apostoles
Uplifting and groovy, this duo is a whole vibe
00:30 Alexander Paulski
High-energy disco to rock your pants","","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"Tue. 21 July","CaSINo: Bet Your Soul and Body","20:00","2:00","Club SIN","Bison - North, grid square N19. By the Shameful Plaza","Games/Play","🦍 Adults only","CaSINo is Club SIN’s twisted casino, where sincoins, shame, dignity, luck, and temptation are all on the table. Play sinful casino games; blackjack, poker, and roulette, win juicy treats, accept delicious punishments, and gamble your comfort zone away. Come place your bet, commit your sins, and lose yourself with us tonight at caSINo...","Recurring: expanded to 4 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July); shown on: Tue. 21 July","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","SIN Bar: Become Your Sinful Self","20:00","2:00","Club SIN","Bison - North, grid square N19. By the Shameful Plaza","Food/Drinks","🦍 Adults only · 💥 Sensory content","Commit wicked sins or accept deserved punishments from our curated menus at SIN Bar, Club SIN's handcrafted wooden haven beside the dancefloor. Earn sincoins, ask nicely, and our SINtenders may reward you with cocktails, non-alcoholic delights, special snacks, and redeeming treats. Sinful tonight?","Recurring: expanded to 4 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July); shown on: Tue. 21 July","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"Tue. 21 July","Social dancing: Folkparks-evening! 💃","20:00","23:00","DansBanderLand and Basmelodi / DansBanderLand","Swamp, grid square T19. The LED dansbana (= pavilion)","Yoga/Movement/Bodywork","","A couple dance party where you can use what we taught you earlier in the day, in the super cool Swedish partner dances bugg and fox. You will have the chance to try it with different music styles such as rock, pop, disco, etc., and of course, the fantastic Swedish music style “dansband”!","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","DMV DRIVE OUT (all art car parade)","20:00","21:00","DMV / DMV","At the DMV. Behind the barn","Art/Installation","🐵 Kid-friendly","All art cars gather at the DMV to strut their hot wheels, weow-weows, and whizzybangypoofythings. Probably not in an orderly row. Maybe racing. Maybe raving. All the way to the opening ceremony.","","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","How to train your pony (End of the Rainbow Opening ceremony)","20:00","21:30","Chrisaster, Catnip, Rav / End of the Rainbow","Bison - North, grid square N20. You can enter into our garden from the downtown garden area when you cross over the wooden bridge from the wood storage or you can enter from the Shameless Plaza below Club Sin.","Workshop/Class","🦍 Adults only · 🌈 Queer-inclusive · 🖤 Sex positive","The End of the Rainbow invites you to join it's rank of its magnificent pony riders! This will be a workshop in how to train and ride your pony, to be ready to ride into a night of sexy magic and party playfulness(One rider and one will be pony). The last 30 min will be an opening ceremony for our party.","","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","Cheese Doctors @ Institute of Insanity","20:00","21:00","Institute of Insanity","We show up at various spots on the playa","Food/Drinks","🦍 Adults only","Interactive pop‑up Performance by The Cheese Doctors @ The Institute of Insanity: reality‑bending experiments, cheese‑based treatments, and strictly confidential participation. Are you ready to be examined by cheese?","Recurring: expanded to 3 days (Tue. 21 July, Thu. 23 July, Fri. 24 July); shown on: Tue. 21 July","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","K-Opera Massage with Baloons","20:00","21:00","Lukas Lilja / Captain Silly Songs / Jam Camp","Lowlands, grid square R13.","Ritual/Ceremony","🦍 Adults only","Hear opera the way it is intended to be enjoyed. With K-massage and balloons! (bring your own…)","","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","DOWNTEMPO HEART DRIVE with Andreas Kavi","20:00","22:00","MŸS Dome","Swamp, grid square T16. Wooden Dome, near Fire Brigade","Party/Gathering","🐵 Kid-friendly","MŸS invites you to a slow but also very danceable arrangement of our loved downtempo sound. Lay around, swing your body or stump to a rhythmic four on the floor that is nourished with driving baselines, percussion, acoustic elements and grooves influenced by places all around the globe. Come by and let the music move you, comfort you and bring us all together in our cozy MŸS Dome.","","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Fireside talk","20:00","22:00","Heinz / Secret Garden","Downtown, grid square M21. Come to the Växthus in Secret Garden","Weird shit/Other","😇 Sober · 🚨 Triggering themes","Let's have a deep and authentic dialogue about important and controversial topics. Maybe it's something Borderland related, or something from the default world that impacts us all. Let's listen to each other's perspective with an open heart and mind and maybe we can integrate all those polarities a bit more.","Recurring: expanded to 4 days (Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri. 24 July); shown on: Tue. 21 July","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"Tue. 21 July","Chai Dream","20:00","22:00","Laura / Shimmering by the forest edge","Arctic chill, grid square O06. In the Arctic Chill, close to Pamper Plaza, behind the camp ""Women who supports women""","Food/Drinks","🦍 Adults only","Come shimmer with us! As night chill creeps in, we're brewing warmth: Vegan spiced Chai with oat milk, plus nibbles on the side. Sing, cuddle, talk under the stars. All kinds of souls welcome! Bring your cup, your voice, just yourself. Let's get cozy by the fire!","","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","5-minute party parade","20:00","22:30","Seagulls / Spaceport","Lowlands, grid square P12. Next to Spaceport dome","Party/Gathering","","Struggling with FOMO and a short attention span? Worry not! Join the Seagulls' Party Parade, where we will hit every party spot on the Playa for 5 minutes glorious minutes each! We meet by the Spaceport dome at 20.00, and start marching at 20.30! Experience the Borderland like a true Seagull: Land, squawk, party and take off again!","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Sound Journey Ceremony","20:00","22:00","Sound Awakening Tribe & Friends / Temple of Sound","Eastern Slope, grid square V18.","Ritual/Ceremony","🦍 Adults only","Welcome to the Temple of Sound 🪐 Enter a sacred space of breath, healing sounds and powerful vibrations. Through gongs, didgeridoo, throat singing, drums, flutes and handpan, we will guide you through an immersive journey into altered states of consciousness. 🌌","Recurring: expanded to 4 days (Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri. 24 July); shown on: Tue. 21 July","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","Wheel of Pleasure","20:00","22:00","The Fuckery","Swamp, grid square R17.","Games/Play","🦍 Adults only · 🖤 Sex positive","Welcome to The Wheel of Pleasure, where your yes is the only rule. Set your boundaries, choose your toys, don the blindfold, and let fate decide how many hands will deliver playful, teasing sensations across your body. You won’t know who. You won’t see them. You’ll only feel. Spin the wheel. 😈","Recurring: expanded to 3 days (Tue. 21 July, Wed. 22 July, Thu. 23 July); shown on: Tue. 21 July","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","🍻 Drunken Sea Shanty Squawking 🏴‍☠️","20:00","21:00","Jonathan / The Jousting Jesters","Swamp, grid square Q19. North side of the little forest between the roads in Swamp, close to Blackwater","Party/Gathering","","SWIG THREE SHOTS, OR YER OUT! In exchange, ye shall receive: lyrics, crewmates, and the sacred right to bellow sea shanties into the night. Tunelessness is a feature. Enter, ye brave fool.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Find Your Sapphic Soul Mate","20:00","22:00","Nyxie / The Sapphic Pond","Sunny Hills, grid square J21. Look for the lesbian flag, we fly it on a pole and spread it on the ground at the Pond, right by the Police Clown.","Games/Play","🌈🌈 Queer-focused","Opening-night magic: pin your heart to the Soul Matchmaking Board and let the Pond play cupid. We'll show you how it works, then set you loose to find your person (or your Tuesday-night U-Haul partner). Bring your crush energy 🐸💘","Recurring: expanded to 7 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Tue. 21 July","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Sex Olympics Signups","20:15","21:00","The Fuckery","Swamp, grid square R17.","Games/Play","🦍 Adults only · 🖤 Sex positive","Sexhibitionists and aspiring sex athletes! Tonight is your moment: Alversjö’s first ever Sex Olympics. The Fuckery has created five unique challenges for your spicy talents to shine. Come by the playspace before the cheering crowds gather to learn about the games, meet your fellow competitors, and sign-up for your specialties.","","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","Opening Party Memory Play performs an immersive and hypnotic techno set","20:30","22:00","Josef / Elven Saunacave-DOME","Sunny Hills, grid square H22. just by the big lake Alversjoe","Music/Performance/Show","","Memory Play (DJ Set) - Techno / Organic / Percussive - percussive, psychedelic with driving beats and guttural vocals.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Listening to the Inner Unfolding","20:30","22:30","Oskar with support / Tantric Trolls","Highlands, grid square N11. Penta Plaza","Workshop/Class","🌈 Queer-inclusive","We invite you to get out of your head and into your body. We drop the story and listen to the felt sense — solo and in relation. Discover deeper layers of yourself and dare to connect in emotional truth. This can get intense — come ready to meet yourself. Leave whenever you need.","","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Sunset drenched Balearic","20:30","22:00","Techstil / Tea by the Sea","Bison - South, grid square P23. The big red tent on the hill, by the Bison sculpture.","Music/Performance/Show","","Set sail for golden hour with warm Balearic grooves, downtempo rhythms, and sun-soaked sounds. BYOC, find a cushion, and let the music be your compass.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Air band Jam","21:00","22:00","Palle / Chilldome","Highlands, grid square M11. Big dome on the Penta Plaza.","Music/Performance/Show","","Just a jam session for air-band enthusiasts!","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Hexology Magical Interactive Ceremony","21:00","2:00","Hexology","Lowlands, grid square R12. Look for the neon sign","Art/Installation","🐵 Kid-friendly · 💥 Sensory content","If you have the courage to come find our coven at night we will reward you with a special treat!  Only a few will experience our special magic ritual and learn how to cast spells.  Will it be you?  (We serve groups of 2-8 people for 15 to 30 minutes.  Kid Friendly!).","Recurring: expanded to 4 days (Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri. 24 July); shown on: Tue. 21 July","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"Tue. 21 July","Supernova Sandwich Station: Dessert Sandwich","21:00","23:00","Keepers of Le Observable Universe","Highlands, grid square L10. In the far west of the Highlands.","Art/Installation","🐵 Kid-friendly","Come and see the reveal of Le Observable Universe! For the occasion, for a fleeting moment, the Keepers of Le Observable Universe manifest a celestial anomaly: the Supernova Sandwich Station. Every bite is a cosmic revelation. Interact with celestial beings, meet fellow travelers, and play games that bend spacetime. Who knows - you might uncover the universe’s deepest secrets…","","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","THE 2026 SEX OLYMPICS","21:00","23:45","The Fuckery","Swamp, grid square R17.","Games/Play","🦍 Adults only · 🖤 Sex positive","Presented by The Fuckery, prepare for silly spicy spectacle at Borderland’s first ever Sex Olympics. Five hand-crafted events inspire athletes and audience from every camp on the playa to come together in steamy celebration. Borderland’s sexpert abilities are about to reach gold-medal heights.","","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","Open night by the fire","21:00","1:00","Camp Yggdrasil / Yggdrasil","Highlands, grid square O10. in the big Tipi","Party/Gathering","","Come, friend, and sit with us. Beneath the roots of the earth tree, we welcome you. Share your stories, warm yourself at our crackling fire and feel for a while. You are welcome here. Just the way you are.🔥✨","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Witch Bitch 101 - come discover your inner witch","21:00","22:30","Sunny / All Senses, No Sense","Eastern Slope, W16.","Ritual/Ceremony","🦍 Adults only · 😇 Sober","Have you ever wanted to explore your inner witch? Come and learn how to feel and manage your energy. Come and discover your inner Witch & learn about the basics in herbalism.","","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"
"Tue. 21 July","The Pony Party","21:30","4:00","End of the Rainbow","Bison - North, grid square N20. By the Shameless Plaza in Bison","Party/Gathering","🦍 Adults only · 🌈 Queer-inclusive · 🖤 Sex positive · 💥 Sensory content","At ""The Pony Party,"" you are invited to courageously step into your power and freedom of expression, as the spirit of the pony calls you to bounce through the night! A magical musical journey awaits, with a rainbow world to explore: bumpin' dancefloor, steamy playspace, lush garden, and cuddly lounge.","","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE"
"Tue. 21 July","Fire Safety School","21:30","22:00","Fire Brigade / Fire Brigade","Swamp, grid square S16. In The Swamp at Fire Plaza, a gallery and red carpet area opposite the large tent of CIRCUS the ANALOG.","Workshop/Class","","A safety briefing for fire spinners who want to play at The Fire Brigade's fire jams or spin before the effigy. We will walk you through our safety protocol and give you a token of trust. Wear natural fabrics to play with fire (cotton, wool, linnen, leather).","Recurring: expanded to 3 days (Tue. 21 July, Wed. 22 July, Thu. 23 July); shown on: Tue. 21 July","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Church Opening","21:30","22:00","David / The church","Downtown, grid square K21. The Church, Downtown","Music/Performance/Show","🦍 Adults only · 🖤 Sex positive · 💥 Sensory content · 🌈 Queer-inclusive","The Church opening ceremony. Expect the unexpected.","","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE"
"Tue. 21 July","SinSalabim","22:00","2:00","Club SIN","Bison - North, grid square N19. By the Shameless Plaza","Games/Play","🦍 Adults only · 🌈 Queer-inclusive · 🖤 Sex positive","SIN Salabim is Club SIN's exclusive members' lounge, where indulgence meets luxury. Entry has its price, but once inside, every pleasure is free. Relax, indulge, connect and explore—because the richest rewards aren't always made of gold.","Recurring: expanded to 3 days (Tue. 21 July, Wed. 22 July, Thu. 23 July); shown on: Tue. 21 July","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","Fire Jam","22:00","0:00","Fire Brigade / Fire Brigade","Swamp, grid square S16. In The Swamp at Fire Plaza, a gallery and red carpet area opposite the large tent of CIRCUS the ANALOG.","Music/Performance/Show","","Witness the power of fire bending! Fire spinning and performances, chillspace and hot tea. We have fuel and safety equipment. Wear natural fabrics to spin or help with fire safety. Attend a safety briefing at 21:45 if you want to spin. Bring your fire props or borrow from us.","Recurring: expanded to 3 days (Tue. 21 July, Wed. 22 July, Thu. 23 July); shown on: Tue. 21 July","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Fire Brigade - Opening Performance","22:00","22:15","Ley and Jo, The Fire Brigade / Fire Brigade","Swamp, grid square S16. In The Swamp at Fire Plaza, a gallery and red carpet area opposite the large tent of CIRCUS the ANALOG.","Music/Performance/Show","","Join us for the grand opening of the fire space! Come and watch this mesmerising performance before the space opens for the free jam for all firespinners.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","The Velvet Lounge","22:00","0:00","The Velvet Lounge / Pink Parachute","Lowlands, grid square P13. Look for our open sign","Party/Gathering","🌈 Queer-inclusive","The Velvet Lounge appears on its own schedule: look for the open sign 🕯️. Gender-ambiguous bartenders pour your drink and read your tarot. Slow dance barefoot. Fall backwards into deep conversation. Shy kisses only. A sensual, surreal, softly clown-haunted place for warmth and connection 🔮🥀","","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Spaceport Open Stage Performance Night!","22:00","0:00","Tali and Friends / Spaceport","Lowlands, grid square P12. Dome by the tall pink temple, Lowlands","Music/Performance/Show","","Looking to share your talent, art, or your creative voice? Spaceport’s Open Mic Night is the perfect venue for you to shine your light or try out new things in a supportive, fun environment. Bring your instruments for a possible Jam! Signup opens at 2145! hosted by Tali and friends","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Tue. 21 July","Erotic Dancefloor","22:00","0:00","Daniel N / Tantric Trolls","Highlands, grid square N11. At Tantric Trolls camp, High lands, where the main roads meet.","Music/Performance/Show","🦍 Adults only","The Eros Dancefloor invites you all for the slow, intimate and erotic dripping tunes which leads you all for the nightly activities. Come and bathe in honey dripping sounds and energy.","","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"Tue. 21 July","Party","22:00","4:00","Alex / The Church","Downtown, grid square K21. The Church, Downtown","Music/Performance/Show","🦍 Adults only · 🌈 Queer-inclusive · 🖤 Sex positive · 💥 Sensory content","The Church Clubnight. Expect pounding Techno music, and an extremely sexy and arrousing vibe. Open playspace during this event until 4!","","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE"
