"ID","How to find","Grid","Name","Neighbourhood","People","Area type","Size (m2)","Size other (m2)","Description","Part of JOMO?","Worth adding?","Category","DONE","How to find","","","","","",""
"427","Lowlands, grid square S11","S11","Camp at the end of the universe","Lowlands","16","normal-camp","378","249","Camping space + realization of dreams: Mussels for muscles, Tiny institute of sensory discovery, Grand Gift trolley","","","","","","","","","","",""
"429","Swamp, grid square U16","U16","Crocket corner","Swamp","14","public-offering","444","400","A croquet field , arts, and small bar, Chill levels from a small speaker in the bar. Our events will finish not later than 21, but the croquet field will be open for play until later. Therefore we aim for a medium loud neighborhood.","429","1","","","","","","","","",""
"430","Bison - North, grid square P21","P21","BÄRSÄRK","Bison - North","15","other","381","0","We will also offer a special Phone Booth experience.","","","","","","","","","","",""
"431","Swamp, grid square R18","R18","Sakred Kink Temple","Swamp","0","public-offering","169","169","Sober
18+
Sex positive
Magic workshops","","1","","","Swamp, grid square R18","","","","","",""
"432","Eastern Slope, grid square W17","W17","Minimaa","Eastern Slope","20","normal-camp","444","50","Muumimaa vacation camp! We're laid back neighbors.","","","","","","","","","","",""
"435","Sunny Hills, grid square K21","K21","Boreder-land permits office","Sunny Hills","1","public-offering","25","15","Are you having too much fun? Make a visit to the permits office to ensure full compliance with 137.6-c F.U.N standards on emotionally non-spurios burning. Experience may vary, we apologize for any convenience this may cause. For complaints, please howl into the void or reach out to noreply@fun.com","435","1","","","","","","","","",""
"437","Eastern Slope, grid square U20","U20","Löyhä Liitto","Eastern Slope","14","public-offering","420","70","Loose Alliance.
Home of Ketunkolo and proud birthplace of Uphill Tumbleroll Race","437","1","","","","","","","","",""
"439","Eastern Slope, grid square W18","W18","Pickleponies Wonderburn on Ludde's Square","Eastern Slope","11","normal-camp","385","10","TBA","","","","","","","","","","",""
"442","Bison - South, grid square N22","N22","CampGlamps ArtCarGarage","Bison - South","8","normal-camp","165","20","Formerly aNGRY oLD mEN art car garage - Redneck mechanic campsite
","","1","🪼 Weird shit/Other","","Bison - South, grid square N22","","","","","",""
"443","Eastern Slope, grid square V15","V15","Sky is the Roof","Eastern Slope","17","normal-camp","536","200","Our mostly Finnish camp has a large(!) communal hangout tent with comfy stuff and star projector for all","","1","🫖 Care/Support/Pampering","","Eastern Slope, grid square V15","","","","","",""
"444","Arctic chill, grid square N08","N08","Coffee Cowboys ","Arctic chill","10","normal-camp","526","0","","","","","","","","","","","",""
"445","Eastern Slope, grid square W20","W20","Two fox sleeping","Eastern Slope","2","other","26","0","Two fox sleeping","","","","","","","","","","",""
"446","Arctic chill, grid square P07","P07","Camp Nordlys","Arctic chill","5","normal-camp","211","60",":)","","","","","","","","","","",""
"447","Swamp, grid square R19","R19","Dagsländor","Swamp","30","normal-camp","866","100","friends live and hangout here, come visit","","","","","","","","","","",""
"449","Bison - South, grid square O23","O23","Lisboetta","Bison - South","20","normal-camp","638","150","Bringing some southern European vibes. Offering light music and other interactive offerings. ","","1","🎸 Party/Gathering","","Bison - South, grid square O23","","","","","",""
"450","Downtown, grid square N20","N20","Njorunns Garden members club","Downtown","8","normal-camp","126","40","Sleeping area for Njorunns Garden people ","","","","","","","","","","",""
"451","Arctic chill, grid square N05","N05","Chilldome/Flowzone - Sleeping area","Arctic chill","30","normal-camp","421","0","","","","","","","","","","","",""
"453","The Villa, grid square K15","K15","Campf Phåånii","The Villa","2","normal-camp","7","0","Sleeping camp","","","","","","","","","","",""
"455","Lowlands, grid square S10","S10","Frida's fabulous freecampers","Lowlands","15","normal-camp","537","35","Our camp and chill area. We appreciate calmness and a good nights sleep! Will probably have a fun and cute offering by the road :) ","","","","","","","","","","",""
"461","Swamp, grid square Q18","Q18","Blackwater Operations","Swamp","20","sound-camp","1046","200","Home of The Green Zone, BUCK and BOWELS","461","1","","","","","","","","",""
"462","Bison - North, grid square P21","P21","Porn-popcorn","Bison - North","8","normal-camp","272","0","4 RVs offering an immersive popcorn movie experience ","","","","","","","","","","",""
"463","Lowlands, grid square S13","S13","Arrête ton Cirque ","Lowlands","25","normal-camp","614","0","ATC freecamp zone","","","","","","","","","","",""
"468",", grid square Q24","Q24","SYNDICATED ANARCHO ETERNAL DUMPSTER FIRE","","20","normal-camp","1023","300","Camp with the peeps. organised anarchism

Also camp of dreams: |
Chroma-synesthesia, 
Electric Hippie Wagon, 
The Void","","","","","","","","","","",""
"470","Arctic chill, grid square N05","N05","The coral collective","Arctic chill","15","normal-camp","346","60","Big circustent, public dreams and sleep corters. ","","","","","","","","","","",""
"473","Swamp, grid square T19","T19","DansBanderLand","Swamp","10","public-offering","66","100","DansBanderLand dream and kitchen","","","","","","","","","","",""
"474","Eastern Slope, grid square W17","W17","Chao Pescao!","Eastern Slope","11","normal-camp","289","0","We are a small camp of 10 people, looking to have a nice spot to chill, rest, live and share.
Slackline vibes  ✌️ ☮️ ","","","","","","","","","","",""
"475","Eastern Slope, grid square V14","V14","Hin Kong","Eastern Slope","5","other","133","3","","","","","","","","","","","",""
"476","Wedge, grid square R23","R23","Lovely End Camp","Wedge","12","normal-camp","342","30","We estimate that our sleeping camp will require minimum 380 sqm, to accommodate six camper vans/caravans with safe spacing, access paths and a small shared area.","","","","","","","","","","",""
"477","Swamp, grid square T15","T15","Borrow and Become","Swamp","20","normal-camp","792","110","this will be a camp w RV and tents in a circle and a big tent area where we have our offering, the borrow and become wardrobe with music, mirrors, glitter and a space to borrow amazing outfits become more you","477","","","","","","","","","",""
"479","Highlands, grid square O10","O10","The glass house","Highlands","2","public-offering","91","50","The glass house is a colorful art installation that will work as a honey trap for wandering hippies. It also acts as the host for „the cabinet of half remembered lies“. ","479","1","","","","","","","","",""
"482","The Villa, grid square K14","K14","Mystical forest encounters","The Villa","18","normal-camp","278","20","We are Mystical Forest Encounters. We are a quiet sleeping camp and just need space for some shut-eye and our common kitchen tent.

","","","","","","","","","","",""
"483","Eastern Slope, grid square V15","V15","Mellows on Tour","Eastern Slope","16","normal-camp","443","50","We offer a cozy chill place and some good drinks for any mood.

","","1","🍯 Food/Drinks","","Eastern Slope, grid square V15","","","","","",""
"484","Arctic chill, grid square O03","O03","Sleeping Van and Kitchen tent","Arctic chill","2","other","74","20","A camper van and a kitchen tent","","","","","","","","","","",""
"486","Lowlands, grid square S10","S10","Beers, Hoes'n Waffles","Lowlands","4","normal-camp","187","90","There will be waffles and beer","","","","","","","","","","",""
"489","Arctic chill, grid square M03","M03","Happy Ending campers","Arctic chill","10","normal-camp","359","0","Happy Ending campers ! come say some final heart worming words to you very much alive friends","","","","","","","","","","",""
"490","Eastern Slope, grid square W17","W17","Jomalipeak","Eastern Slope","7","normal-camp","155","30","Friendly camp. Come and hang with us! No public offering in camp but camp is responsible for art piece in the the forest.","","","","","","","","","","",""
"492","Swamp, grid square V16","V16","Mushimys","Swamp","5","normal-camp","143","0","","","","","","","","","","","",""
"493","Highlands, grid square N10","N10","Sacred Reset","Highlands","2","public-offering","50","10","Offering a simple reset with sacred plants (hapé, sananga etc.) & 1:1 meditation/spaceholding. ","","1","🫖 Care/Support/Pampering","","Highlands, grid square N10","","","","","",""
"494","Arctic chill, grid square O07","O07","Camp Holy Mess","Arctic chill","30","normal-camp","775","350","Camp Holy Mess is a cozy, heart-centered Borderland camp focused on connection, playfulness, creativity, and deep presence.
We value authentic relating, shared responsibility, softness, spontaneity, and collective magic.
Expect lakeside hangs, nourishing food, silly moments, meaningful conversations","","1","🫖 Care/Support/Pampering","","Arctic chill, grid square O07","","","","","",""
"496","Eastern Slope, grid square W16","W16","Heliotropes","Eastern Slope","7","normal-camp","107","0","A small, cozy camp gathered around light, movement, and slow forest-side magic. We’re hoping to create a playful, collaborative space for rest, making, and little moments of shared imagination.

Our plans are still taking shape, so neighbours are welcome to get in touch on Discord, we’d love to con","496","1","","","","","","","","",""
"497","Arctic chill, grid square O06","O06","Livmor","Arctic chill","6","normal-camp","142","0","A welcoming and warm sanctuary centered around a cozy tipi with a wood stove, sheepskins, and hot herbal teas. A perfect spot to escape the cold, relax, and chill out.We live and sleep here,also:)","","1","🍯 Food/Drinks","","Arctic chill, grid square O06","","","","","",""
"499","Eastern Slope, grid square V16","V16","Yachtees Magic Offerings","Eastern Slope","5","public-offering","133","130","Yachtees bring food and magic from far countries. Pop up offerings and events will enrich the neighbourhood with unexpected sweets and treats.","","1","🍯 Food/Drinks","","Eastern Slope, grid square V16","","","","","",""
"500","Lowlands, grid square T14","T14","Cuties","Lowlands","16","normal-camp","358","65","We are 15 people from France. The vibe is chill (mostly introverts, no amplified sound, almost no smoking), and we'll bring good tea to share with the neighbours :)","","","","","","","","","","",""
"504","Eastern Slope, grid square V18","V18","Golden Golden","Eastern Slope","10","public-offering","316","100","Golden Golden","","","","","","","","","","",""
"505","Bison - South, grid square O24","O24","R&L+1 Freecamp","Bison - South","3","normal-camp","50","10","Small freecamping + chill 
Always open unless closed","","","","","","","","","","",""
"506","Bison - North, grid square N22","N22","Reef Madness","Bison - North","6","normal-camp","355","40","women cry for it
men will die for it
the underwater world of the reef","","","","","","","","","","",""
"508","Swamp, grid square U17","U17","Crocket corner camp","Swamp","14","normal-camp","1129","750","Camp for the Crocket corner","","","","","","","","","","",""
"511","Highlands, grid square L09","L09","The moonwalkers","Highlands","18","normal-camp","659","50","A chill camp for hanging out, offering coffee, good vibes and a sleeping camp for 18 ppl. 
More to come!","511","1","","","","","","","","",""
"512",", grid square Y15","Y15","Resonant dreams","","0","art","162","162","https://dreams.theborderland.se/borderland/dreams-2026/cmnvqp2wa0002xwzqzj3ajprd?s=resonant&f=FUNDED","512","1","","","","","","","","",""
"515","Highlands, grid square O11","O11","Questicles","Highlands","5","public-offering","257","100","A space that offers silliness and shenanigans (daytime).

We have a temple tent, game space, hippie trap, altars and more. Just don't open our treasure chest!","","1","🔮 Ritual/Ceremony","","Highlands, grid square O11","","","","","",""
"517","Swamp, grid square U18","U18","Ponycornland","Swamp","6","public-offering","125","0","A veterinary clinic to check the health of borderlings animals. ","","1","🫖 Care/Support/Pampering","","Swamp, grid square U18","","","","","",""
"518","Lowlands, grid square U13","U13","💤The Ship","Lowlands","4","normal-camp","80","0","Two campervans and one tentsile in the forest
For sleep between work shifts","","","","","","","","","","",""
"519","Wedge, grid square R20","R20","Alice the Malice in Wonderland","Wedge","27","public-offering","909","220","The power is high because we have a pro kitchen setup. We are Alice The Malice, camping and public offerings. A pop up bar, fun and games inside and out. Mad Hatters Tea Party, workshops, slomo zone, a fireplace to join on the long travel home in the cold morning mist.
liselottenorman#7059","519","1","","","","","","","","",""
"521","Lowlands, grid square S10","S10","Abandoned ship","Lowlands","6","normal-camp","83","100","More info about offerings coming soon","","","","","","","","","","",""
"524","Lowlands, grid square S11","S11","Perky Land","Lowlands","8","normal-camp","515","155","Perky Land","","","","","","","","","","",""
"526","Eastern Slope, grid square W20","W20","Kärlekssystemet ","Eastern Slope","2","normal-camp","79","81","This camp will support the dream we didn't get funded, but no worries, we will be offering a paired down version of couples coaching and communications about love, attachment and affection.","","","","","","","","","","",""
"527","Swamp, grid square S19","S19","The Bureau of Justice, Joy, Bubbles and Other Dangerous Ideas","Swamp","14","normal-camp","298","150","This is where we will have around 14 tents for sleeping, kitchen tent, and a lil make-up station for a public offering occurring during the week.","527","","","","","","","","","",""
"528",", grid square Q24","Q24","Secret Garden camping area","","20","normal-camp","1574","0","Camping for memebrs of Secret Garden. We will be around 15-20 people, with 10-15 tents. We have ""reserved"" a larger area, as we have camped here last year and found out there is not so much flat surface. Due to the unevenness of the area, we need a larger surface than a camp of 20 people on a field.","","","","","","","","","","",""
"529","Highlands, grid square M10","M10","Bohemian Queen's Chalet","Highlands","1","public-offering","51","0","Black tent full of wonders: a piece of Bohemian queendom, paradise of free spirits, home of an Oracle powered by ghost from the machine: Daimon. Witch's hut, bohemian tea, cookies, conversation. Come to get your prophecy, dear. 
(I am connected to the Heart camp: hope will will settle with Java!)","529","1","","","","","","","","",""
"530","Eastern Slope, grid square V17","V17","Foyaé Villa Hutlös","Eastern Slope","19","normal-camp","596","165","Chill camp with old friends, new friends and good vibes. We offer a no bullshit peaceful villa where you can relax, connect and have good conversations.
Come by if you seek a small break from all the chaos in town- there might even be some tea, tarot, soundhealing or massage in it for you ;)","","1","🫖 Care/Support/Pampering","","Eastern Slope, grid square V17","","","","","",""
"531","Arctic chill, grid square O07","O07","House of honies","Arctic chill","5","normal-camp","125","0","This is our hooooome ! come sit for a cup of tea or a crepe, we speak kiwi, francais and a bunch of non sense too &lt;3","","","","","","","","","","",""
"533","Swamp, grid square R18","R18","Sacred Kink Camping and Stuff","Swamp","20","normal-camp","282","107","This is where we sleep and eat and stuff","","","","","","","","","","",""
"536","Arctic chill, grid square M07","M07","Menagerie","Arctic chill","10","normal-camp","272","20","Sleeping camp without public-facing areas, with roving offerings and gifts.

Open to moving / reshaping, get in touch if you need this space!","","","","","","","","","","",""
"540","Arctic chill, grid square O06","O06","A Camp has no Name (Trust in your destiny)","Arctic chill","15","public-offering","237","260","We will hold some workshops e.g. painting with ultrablack paint, waffles, maybe circling and other nice things. ","","1","🍯 Food/Drinks","","Arctic chill, grid square O06","","","","","",""
"541","Downtown, grid square N19","N19","The Knight’s Camp","Downtown","7","normal-camp","70","0","The knight and his entourage ","","","","","","","","","","",""
"543",", grid square Q23","Q23","Golden Foxes Den - structure in the forest on the fire pit area","","0","public-offering","104","100","","543","","","","","","","","","",""
"547","Bison - South, grid square O23","O23","Shish kebab","Bison - South","4","normal-camp","127","0","We are having our grill party’s here with space för seating and enjoying the food for all who want to join. ","","","","","","","","","","",""
"548","Eastern Slope, grid square W17","W17","The far away","Eastern Slope","3","normal-camp","28","0","A small camp with some chill next to the forest. ","","","","","","","","","","",""
"550","Eastern Slope, grid square W16","W16","Fairy dust","Eastern Slope","13","normal-camp","200","0","Somewhere between the camp and the forest, there is a hidden place where butterflies never sleep. A soft pink sanctuary of glitter, blush, flowers and woodland enchantment. Lost travelers may enter and leave slightly more magical than before.","","","","","","","","","","",""
"551","Arctic chill, grid square P05","P05","Shimmering by the Forest Edge","Arctic chill","0","normal-camp","111","0","Extra sleeping space. 
For more info about us and our dreams, see our space right across the fire safety perimeter south-west.","","","","","","","","","","",""
"552","Swamp, grid square S20","S20","LOCOLiQue","Swamp","4","normal-camp","128","0","Homenest for darlings giving public serving thru out the week ","","","","","","","","","","",""
"554","Eastern Slope, grid square W15","W15","Camp ""Easy to please""","Eastern Slope","7","normal-camp","114","25","Seven people that are very easy to please. We bring the vegan waffle wagon which will be resupplied here, but mostly stationed elsewhere and the Kimchi treasure hunt. If you're a lucky neighbour or just a random passer by you might get a waffle, or at least the current location of the wagon!","","","","","","","","","","",""
"555","Bison - South, grid square N22","N22","House of RAZZLE","Bison - South","7","normal-camp","200","100","Camping area for camp HOUSE OF RAZZLE, including area for storing our mobile rainbow dream!","","","","","","","","","","",""
"556","Bison - South, grid square O24","O24","The herd","Bison - South","15","public-offering","505","250","Some mellow daytime music and chilled drinks","","1","🍯 Food/Drinks","","Bison - South, grid square O24","","","","","",""
"557","Swamp, grid square R18","R18","Schorle Bar + Bob-Up-Cafe","Swamp","2","public-offering","120","100","The underwater-themed Schorle Bar will serve non-alcoholic bubbly drinks with fruity syrups in a playful and silly way. 

The Bob-Up-Cafe transforms a campervan into a place for coffee, compliments, cuddles, and conversation.","557","1","","","","","","","","",""
"558","Arctic chill, grid square M04","M04","Tigerland","Arctic chill","10","normal-camp","370","50","Chill and friendly international camp mostly for sleeping, slightly odd shape due to uneven ground ","","","","","","","","","","",""
"559","Sunny Hills, grid square I21","I21","Coral Cosmos","Sunny Hills","10","normal-camp","128","0","","","","","","","","","","","",""
"563",", grid square G10","G10","Gate Of Alvheim","","20","other","583","50","The forest path will be decorated by the elves of Alvheim. 
We will take over Kishmastle soundstage for one day but use the area and collaborate for the whole week.

Expect altars and elven magic
L.N.T","563","1","","","","","","","","",""
"569","Eastern Slope, grid square W16","W16","Borderlovers","Eastern Slope","13","other","21","0","","","","","","","","","","","",""
"574",", grid square K12","K12","chroma synesthesia ","","0","art","564","0","Cro-sy returns — bigger, stranger, and more inviting than before. Building on the audio-visual light installation that delighted audiences at the Borderland 2025, this second edition transforms into a full sculpture garden to wander through: a curated landscape of works past and present, all woven together by color, sound, motion and interactivity.","","1","🎨 Art/Installation","",", grid square K12","","","","","",""
"576","Lowlands, grid square S12","S12","Megalodon Camp","Lowlands","10","normal-camp","310","200","
","","","","","","","","","","",""
"577","Bison - South, grid square O22","O22","Operations","Bison - South","6","normal-camp","200","0","Need a little extra sparkle before the night unfolds? Swing by Operations for glow-in-the-dark tattoos, face gems, body bling, and questionable beauty advice. We'll help you become an even shinier version of your already gorgeous self. ✨","","","","","","","","","","",""
"579","Wedge, grid square Q20","Q20","Psych hike","Wedge","6","normal-camp","142","10","sleeping area of therapists","","","","","","","","","","",""
"580","Eastern Slope, grid square W16","W16","The Wrecked Yachtees Asylum","Eastern Slope","16","normal-camp","500","40","(2nd Sleeping)
Here is the second cozy aarea of the wrecked Yachtees, neeeded because we are. a lot of Yachtees, but very open to share","","","","","","","","","","",""
"582","Arctic chill, grid square N03","N03","Gate of Alvheim Camp // Fungal Refugee","Arctic chill","35","normal-camp","566","20","Gate Of Alvheim sleeping area. 

Collaborating with Kishmastle Castle and Fungal refugee","","","","","","","","","","",""
"583","Eastern Slope, grid square V16","V16","Linda land","Eastern Slope","8","normal-camp","221","20","A bunch of nice nice nice.","","","","","","","","","","",""
"586","Bison - South, grid square P23","P23","Golden Caravan Camp - extra camp space","Bison - South","8","normal-camp","282","0","Extra area for Golden Caravan camp on the other side of the fire road","","","","","","","","","","",""
"587","Lowlands, grid square S13","S13","Nattugglorna 🦉⭐","Lowlands","12","normal-camp","429","3","Come fly with the Night Owls! ","","","","","","","","","","",""
"588","Lowlands, grid square T13","T13","Gentlepeople of a Certain Age","Lowlands","8","normal-camp","324","27","several gentlepeople of a Certain Age bringing an artcar","","","","","","","","","","",""
"590","Swamp, grid square U18","U18","Dubble the trubbel ","Swamp","2","public-offering","104","105","A dreamy camp with focus on sexy playfulness hosting pleasurable embodied workshop, cuddles and love! ❤️‍🔥","","1","🦾 Yoga/Movement/Bodywork","","Swamp, grid square U18","","","","","",""
"592","Sunny Hills, grid square H19","H19","Water slides","Sunny Hills","0","public-offering","114","140","We will have a day of racing and betting on the water slides! They will probably stay there for a couple more days as well. People have to rinse off in the shower before bathing","","1","🎲 Games/Play","","Sunny Hills, grid square H19","","","","","",""
"599","Lowlands, grid square R10","R10","My Gaarden","Lowlands","35","normal-camp","1045","100","Cosy chill with friends","","","","","","","","","","",""
"601","Bison - South, grid square P24","P24","Secret Sailors love boat harbour","Bison - South","20","public-offering","220","6","The art car Secret Sailors love boat will find its mooring there different times during the week and offer singing, cruising, a bar and other fun. Also part of the harbour is the sister artcar of Circus Max.  ","","1","🎨 Art/Installation","","Bison - South, grid square P24","","","","","",""
"604",", grid square S24","S24","Woop woop, let's do it! ","","8","normal-camp","145","0","Coming soon :) ","","","","","","","","","","",""
"605",", grid square I12","I12","Piano in the Forest","","0","sound-camp","32","0","Last years piano on the path to Muumimaa was appreciated by many. Borderland has unsurprisingly many piano players!","","1","🎨 Art/Installation","",", grid square I12","","","","","",""
"606","Bison - South, grid square P25","P25","Mycelium camping","Bison - South","5","other","61","0","","","","","","","","","","","",""
"607","Swamp, grid square S19","S19","The Bureau of Justice, Joy, Bubbles and Other Dangerous Ideas","Swamp","14","public-offering","91","150","This is the Reception of our Bureau that people can file complaints, apply for certification of approval, etc.","607","1","","","","","","","","",""
"609","Arctic chill, grid square L07","L07","french fancy touch","Arctic chill","2","public-offering","143","120","we are borderling  virgins, we fancy offering chilled wine and random nibbles, with a French touch at unpredictable times and places","","","","","","","","","","",""
"610","Highlands, grid square O11","O11","Hippy Safari","Highlands","0","art","13","10","Hippy Safari art dream. https://dreams.theborderland.se/borderland/dreams-2026/cmnm06m2j000581jjzatwq0km?s=safari&f=FUNDED

Overlapping with The automated café per agreement with WHD 
Reach out to Annaka if there is any concerns or complications with placement map :)","610","1","","","","","","","","",""
"615","Lowlands, grid square T12","T12","Mamaya","Lowlands","16","normal-camp","582","200","Communal tent for chill music and dancing as well as for hanging out at the borders of the forest.","","","","","","","","","","",""
"617","Eastern Slope, grid square W18","W18","Still don't know, but the waffles will be even better ","Eastern Slope","18","normal-camp","555","100","We will be a cozy camp of 18 Finns and we'll be offering waffles/Finnish muurikka-pancakes and maybe some warm sandwiches. We have two kiddos in the camp, 2 and 3 yo.","","","","","","","","","","",""
"619","Bison - South, grid square O23","O23","Aporia","Bison - South","2","normal-camp","201","111","Offering introspection and exploration. Possibly a smaller outdoor gym. ","","1","🫖 Care/Support/Pampering","","Bison - South, grid square O23","","","","","",""
"622","Arctic chill, grid square P08","P08","Camp Holy Mess - Sleeping","Arctic chill","10","normal-camp","111","20","Holy Mess SLEEPERS","","","","","","","","","","",""
"623","Sunny Hills, grid square F21","F21","Nest & Twigs - beach nest","Sunny Hills","0","art","36","0","","","","","","","","","","","",""
"624","Highlands, grid square N12","N12","The Midnight Assassins","Highlands","10","normal-camp","150","1","More info comming sooon!!! &lt;3","","","","","","","","","","",""
"626","Bison - South, grid square N23","N23","Dzl's not camper","Bison - South","2","normal-camp","55","0","Safety area or something-something, I tune out when the grownups speak...","","","","","","","","","","",""
"628","Sunny Hills, grid square H22","H22","Occult oasis pool parties","Sunny Hills","2","sound-camp","115","0","The horizon is shimmering, the water is calling, and the blue burner creatures are stirring once more. Welcome back to the Occult Oasis. This year, we’ve distilled our dreams into two distinct, immersive day-party voyages.","","1","🎸 Party/Gathering","","Sunny Hills, grid square H22","","","","","",""
"629","Lowlands, grid square T12","T12","Hin Kong","Lowlands","5","other","152","4","Sarah, Felix, Russell, Charlotte x2","","","","","","","","","","",""
"631","Arctic chill, grid square P08","P08","The Oracle Camp !! ","Arctic chill","21","normal-camp","872","200","Bring your life questions. The oracle will reveal the answer 
Leave with clarity, confusion, or both.

We are a camp with 9 kids and 12 grown ups brining you something very special 

We will fill in our power needs asap ","","","","","","","","","","",""
"634","Lowlands, grid square S12","S12","Ensammans är vi starka","Lowlands","15","normal-camp","567","20","A camp for solitary cooperations and togetherness. Workshops and art will be provided and sauna on wheels. ","","","","","","","","","","",""
"636","Lowlands, grid square Q10","Q10","Boothcamp","Lowlands","8","normal-camp","363","50","Camp for 8 people with 4 vehicles. Will offer a public phone booth at Snacktown plaza. ","636","","","","","","","","","",""
"640","Swamp, grid square R19","R19","Under pressure","Swamp","20","normal-camp","451","50","Under Pressusre!
Fine hand-pressed orange juice, served with a side of existential dread. One minute you’re sipping like an emperor, the next you’re doing burpees because the song said so
","","","","","","","","","","",""
"642","Arctic chill, grid square M03","M03","Emotional Little Gremlins","Arctic chill","5","normal-camp","220","0","Your friendly neighborhood gremlins will use this camp to relax, sleep and recuperate. Free hugs and kisses!","","","","","","","","","","",""
"643","Swamp, grid square T19","T19","Couleur","Swamp","15","normal-camp","589","44","","","","","","","","","","","",""
"645","Swamp, grid square P18","P18","Agges camp","Swamp","10","normal-camp","682","0","","","","","","","","","","","",""
"646","Bison - South, grid square M22","M22","Camp of the Sparkling Astronaut","Bison - South","4","normal-camp","26","12","free camp","","","","","","","","","","",""
"649","Eastern Slope, grid square U20","U20","Babcia Kamp","Eastern Slope","17","normal-camp","275","50","A warm Slavic-inspired community kitchen with Babcia-style hospitality, handmade pierogi, a pickle bar, and open dumpling-making workshops.","","","","","","","","","","",""
"650","Eastern Slope, grid square U20","U20","Terde","Eastern Slope","7","normal-camp","278","30","A chill area and camping, possible bar","","","","","","","","","","",""
"652","Swamp, grid square U18","U18","Sunsprout☀️🌱","Swamp","7","normal-camp","148","79","We are Camp Sunsprout! ☀️🌱
There will be rainbows🌈, there will be lights✨️. Especially on the day, we will be hosting: SING 4 FRIED RICE!🎤🎶🍚 (Date: TBA)
Pls come by and say hi! (We don't bite😉)","","","","","","","","","","",""
"654","Arctic chill, grid square N05","N05","Brandenburners","Arctic chill","8","public-offering","170","6","Small intentional community of hippies that used to
chase the dream of having a fulfilling life in The Borderland. However, rising rents and gentrification pushed us to rethink our priorities and move to the countryside uhm Artic zone.

Planned public offerings:
- Popcorn station
- Noseflute gifting","","1","🎲 Games/Play","","Arctic chill, grid square N05","","","","","",""
"658","Far Flung Field, grid square Z07","Z07","Two Peace in a Pod","Far Flung Field","2","normal-camp","20","0","Two Peace in a Pod is two sisters in one pod - serving soft landings, loud laughs, shared snacks, and the occasional existential conversation under the stars.","","","","","","","","","","",""
"661","Arctic chill, grid square N05","N05","Love nest","Arctic chill","4","normal-camp","174","40","All TITs are welcome:)","","","","","","","","","","",""
"662","Arctic chill, grid square N03","N03","bio freecamp","Arctic chill","2","normal-camp","106","20","sleeping area camper","","","","","","","","","","",""
"667","Eastern Slope, grid square V14","V14","Love Alchemy Camp","Eastern Slope","2","normal-camp","85","0","","","","","","","","","","","",""
"669","Lowlands, grid square T13","T13","Mystic Groove","Lowlands","30","normal-camp","1087","250","Sauna Tent, silversmith, ""feather in hair"" workshop, happy people","669","","","","","","","","","",""
"670","Arctic chill, grid square O05","O05","Erica's Heaven","Arctic chill","12","normal-camp","149","0","A group of free campers who wants to have a chill and cozy time","","","","","","","","","","",""
"671","Arctic chill, grid square N06","N06","Many Mad Mystics","Arctic chill","12","normal-camp","287","0","We are hoovering in the vast unknown, and invites you fellow borderling to let go and step in to this mystery - to leave the graspable and to feel the expansion and curiosity take place under the comfort of the many mad mystics","","","","","","","","","","",""
"672","Eastern Slope, grid square W15","W15","frisan","Eastern Slope","2","normal-camp","42","0","","","","","","","","","","","",""
"673",", grid square T12","T12","🌟SPRKL CAMP","","2","other","57","0","Free camp - 1 van","","","","","","","","","","",""
"676","Swamp, grid square U17","U17","Foajé Villa RV Dispatch","Swamp","0","normal-camp","142","0","Camping area for Foajé Villa Hutlös members with RV's. ","","","","","","","","","","",""
"677","Arctic chill, grid square N04","N04","Kishmastle Castle / Gate Of Alvheim","Arctic chill","0","normal-camp","180","0","Extra space for kishmastle/Gate of alvheim/fungal refugee","","","","","","","","","","",""
"680","Highlands, grid square N13","N13","The Forbidden Den","Highlands","10","normal-camp","469","35","A place to to relax, talk and sit by the fire ","","","","","","","","","","",""
"681","Far Flung Field, grid square Y10","Y10","Sleep spot","Far Flung Field","1","other","25","0","Sleeping spot for overstimulated times","","","","","","","","","","",""
"687","Lowlands, grid square R10","R10","Schnuffel Puffels","Lowlands","9","normal-camp","299","0","Camp with at least one van. Also public offering in the form of stress relief. ","","","","","","","","","","",""
"689",", grid square S24","S24","DansBanderLand","","10","normal-camp","94","0","DansBanderLand sleeping area","","","","","","","","","","",""
"692","Lowlands, grid square Q11","Q11","KosmoLand","Lowlands","2","normal-camp","87","0","Lovers of downtempo beats and mystical sound journeys.","","","","","","","","","","",""
"694","Arctic chill, grid square N07","N07","Hut of the Bubble Witch ","Arctic chill","2","normal-camp","30","10","Formally known as the Bubble Wotch of Citrus Rains, she has now moved to a new neighborhood. Filled with synchronicity, madness and potions.","","1","🔮 Ritual/Ceremony","","Arctic chill, grid square N07","","","","","",""
"698","Highlands, grid square M12","M12","Bubble trouble ","Highlands","5","normal-camp","178","20","","","","","","","","","","","",""
"700","Swamp, grid square S19","S19","Magical Space","Swamp","15","normal-camp","476","40","Camp for 15, creating magical experiences","","","","","","","","","","",""
"703","Highlands, grid square O12","O12","Mike Moe Money: Recommodify The Borderland","Highlands","2","public-offering","88","80","Satirical ever-changing art project and info-zone, highlighting the creeping commodification of the Borderland.
Want to own your very own Mike Moe Money advertising board? Get rich selling ad space!
","","1","🎨 Art/Installation","","Highlands, grid square O12","","","","","",""
"704","Bison - South, grid square P24","P24","N E C T A R","Bison - South","15","other","412","0","we love you","","","","","","","","","","",""
