"Title","Location","Category","Tags","Description"
"The Fungal Refuge","grid square G11. Past the Sanctuary into the forest before the open field of the Muumin Valley","Art/Installation","","A dimension within a parallel universe. A space for recharging and connecting with the earth and the mycelium. Come here to be transported into another realm. A cozy space with lots of love and heart. Borderland can be overwhelming at times. Find us when things seem intense or just too much. During the daytime you will find us here drinking chai, meditating, giving massages and just a chill cozy space. At night the mycelium might be resting. But you never know. Hope to see you there!"
"The Post Office","Arctic chill, grid square O06.","Art/Installation","🐒 Kid-friendly · 🍑 Body-positive","The Post Office is the official delivery service for all goods and letters across the playa.  

A love letter to your playa crush? A hug for a friend or an urgent request for candies? Come visit one of our three locations , slot your item through the post box (or speak to one of our representatives on site) and watch the magic of postal work in action. 

We have postcards!
We have pens!  
Open for drop offs 24/7!

The Post Office - We Deliver!"
"Bohemian Queen's Chalet","Highlands, grid square M10. A black tent.","Art/Installation","","A black tent. A Bohemian witch. An AI oracle. Step across the threshold where ancient mystery meets machine intelligence. Tea, cookies, strange questions, stranger answers. Not a fortune teller — a mirror. Ask the Oraculum. Remember what you already know."
"Elsewhere - The Persian Korsi","Highlands, grid square M12. Find us in Agrabah","Art/Installation","","A Persian oasis in the middle of cold soaky Scandinavia. Come in and warm yourself under our Korsi - a heated, low-table covered with blankets which families traditionally gather around during the harsh winters of northern and central Iran. Join us here to escape the frosty nights. Forget about your sauna, temazcal and what not. Warmth comes from good company, a cup of masala chai and good music ☕"
"Hot Sauna 24/7","Sunny Hills, grid square G21. Sunny hill, next to water","Art/Installation","😇 Sober · 🐒 Kid-friendly · 🍑 Body-positive · 💥 Sensory content","The hot sauna aka Sompasauna will be operational 24/7 right on the water in Sunny hill. Self service, add firewood, carry water, make it hot!"
"Hippy Safari","Highlands, grid square O11. Crossroads near Bayt al-Noor, beside the cafe","Art/Installation","🐒 Kid-friendly","Borderland is a spectacle! 
Witness The Great Borderling Migration - Enjoy a curated expedition into this strange world of burners and hippies. Our expert field guide, D[ai]vid Attenborough, will help you learn about some of the countless creatures you might see on the Playa, all from the comfort and safety of our observation window.

So grab a seat, hold onto your binoculars, and take it all in - today you're a naturalist on safari"
"Alice in Morocco","Highlands, grid square N12. If it looks like a Moroccan wonderland with a bunch of fairy lights - it should be us!","Art/Installation","","“I wonder if I shall fall right through the earth.” Alice said - and so she did. She fell all the way into the mysterious wonderland of Morocco, which, for some reason, was located in the Swedish forest.
Fall down the rabbit hole into a magical place of colorful glittering fabrics, spicy tea-parties and mystical characters. 
And don’t worry about being a little crazy, after all: we’re all mad here."
"Gate Of Alvheim","grid square G10. Old Mumima valley will have two space stations connected by an elven path, 

Visit on Thursday for the full elf experience.","Art/Installation","💥 Sensory content","Welcome to Gate Of Alvheim! 🧝‍♂️

The elves sacred ritual space.

When Alvheims Gate opens on Thursday;
Expect elves dancing, mystical art co-created with nature and profound psychedelic dance music imbued with ceremonies and rituals. 
Workshops during daytime and refreshments in the bar.

Collaborating with Kishmastle Spacestation and fungal refugee to create a full week  complete and mystical dance resort.

Hope we see you in the misty forest!🌲🌳💚"
"""Everything is Political"" Chai Stand","We will be on the playa.. somewhere. From time to time.  You may smell the brew of our spicy delights... you may hear powerful mantras vibrating through the playa.. that would be your sign.. to come find us.","Art/Installation","🐒 Kid-friendly · 🏳️‍🌈 Queer-inclusive · 🐩 Pet-friendly","Step into our chai cave where the air hums with sacred vibrations and the aroma of cardamom hangs thick enough make you question that Borderland is 'apolitical'.

When you emerge from your mantra-induced coma, join us for chai-fueled conversations about how the 11 principles are radical and political - and how great that is!"
"Mycelium","Bison - South, grid square P22. Look for the smell of tea and mellow movements","Art/Installation","","Gentle art installation in the lookout, next to tea by the sea and metal bison. 
When the sun goes down, mycelium sparks to life."
"Phony booths","Most likely the central phone booth in nort-western part of lowlands. Then we will expan southward as far as we can. Atleast three booths in total.","Art/Installation","","We are building the official Borderland Phone Network! We want you to use it for any phone-calling needs you may have. It could be a key in some puzzle game you are running. You could have phone support of some kind at certain times. If you for some reason have use for a small phone network where you can call the other phone booths with special telephone numbers, feel free to do so. Contact me for more information: username Ricky @ borderland discord."
"Le Observable Universe","Highlands, grid square L10.","Art/Installation","","The Keepers of Le Observable Universe cordially invite you to come and see Le Observable Universe, which they very diligently and safely keep for all of us to enjoy in the form of an audiovisual installation. Pass by their camp in the far west of the Highlands any day from Tuesday to Saturday after darkness reins in the sky."
"Explorers","Highlands, grid square N09. The northern part of Highlands","Art/Installation","","Searching for a new look? Stop by Explorers Clothing Swap, open 24/7. Leave one, take one."
"The Glass House","Highlands, grid square O10. You‘ll know when you see it!","Art/Installation","🦍 Adults only · 🚩 Triggering themes","The walls are clear but the light plays tricks. Colored walls cast the inside in shifting hues, making what's visible feel uncertain. Step inside The Glass House and open The Cabinets of Half-Remembered Things. Each drawer holds a lie you were told, a lie you still believe. Leave one of your own."
"Slothenhive Hammock Star","Lowlands, grid square Q13. Next to Swetspot and Spaceport","Art/Installation","🐒 Kid-friendly · 🐩 Pet-friendly","The Hammockstar is a chill art installation where you can hang out.

The sun is shining, you wander around, maybe just got a fresh cup of coffee an suddenly there comes a place that is inviting you to relax and let your soul dangle.

While the hammock is hugging you and you gaze into the sky and over the playa, you may dream away, you may meet the eyes of a strager in the hammock next to you and this might be a start of a beautiful connection."
"Sinnergirl","Bison - North, grid square O20. On the Shameless Plaza","Art/Installation","🦍 Adults only · 🚩 Triggering themes","Sinnergirl is a six metre tall effigy with two faces, angel and demon, holding a glowing brain as a gift. Four walls of Pain, Grief, Hope, and Joy invite Borderlings to leave their testimonies. At night, projections and LEDs bring her to life before she burns into memory, ash, and light."
"The Bureau of Justice, Joy, Bubbles and Other Dangerous Ideas","Swamp, grid square S19.","Art/Installation","","Our name tells the story of sincere seriousness and serious silliness. We ground in the radical roots of Justice and Joy to navigate the world, a place to explore Dangerous Ideas that dismantle, unlearn, and meet the world as it is - a magically interconnected and sacred web of life."
"Hexology","Lowlands, grid square R12.","Art/Installation","😇 Sober · 🐒 Kid-friendly · 💥 Sensory content","A private magical ritual and interactive art game for small groups of 2-8 that we run all night."
"Cosmic Portal","Downtown, grid square K18.","Art/Installation","🐒 Kid-friendly","Lie beneath a 6m ring of 8,000 living LED lights as they breathe with you. The Cosmic Portal blurs dreams and the waking life. A hammock between dimensions, woven in color. Live artists and DJs will guide you to the far reaches of the cosmos. Always open, alive  at night. In the Barn, top floor."
"A tea party in wonderland","Swamp, grid square T18. From the outside it’s a big black tent but look for the mannequin they will show you the entrance","Art/Installation","😇 Sober · 🐒 Kid-friendly · 🐩 Pet-friendly","Where the mannequin points, you must follow! 

When the mannequin points you in, come join us in our imaginarium for a brew, a soothing warm beverage, cup of tea. Our home made tea blends and small bites will help you to gather your strength ready for your next side quest."
"Fuckie Talkie - Dispatches from the Fuckery","grid square K13. The crossroads next to Sanctuary, leading in to the Muumimaa forest.","Art/Installation","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive","Pick up the walkie-talkie placed on the station next to the Sanctuary crossroads (close to the Villa Toilets) and give the Fuckery a call on our playnight evenings (Tue-Thu 21-05). The other walkie-talkie (the fuckie-talkie) lives inside the Fuckery playspace tent, where one of our playnight angels will pick up your call and facilitate broadcast transmissions from willing horny people to you."
"Silent Cinemas in the Dark Woods","Look for spooky lights in the dark woods.","Art/Installation","","A constellation of small, intimate silent movie theaters scattered through the dark woods — each a self-contained pocket of light and shadow, inspired by the visual language of David Lynch and Gregory Crewdson. Some screen classic silent films, some experimental and surrealist shorts. At least one will show something you cannot fully explain afterwards but will think about for the rest of Borderland."
"The Flock - Birdhouse Raves","Look for small blinking lights in the dark forests.","Art/Installation","💥 Sensory content","The Flock is a scattered constellation of birdhouses throughout the dark forests — each one a tiny, fully functional rave. Strobing LEDs, the suggestion of a crowd of no one, music that takes itself completely seriously despite emanating from something a sparrow might live in.
Each birdhouse is its own ecosystem. Different music. Different light palette. Different vibe.  A rave is a rave whether it fits 2000 people or zero. The forest doesn't care."
"CIRCUS the ANALOG","Swamp, grid square S18. The BIG circus tent","Art/Installation","","An immersive playground for the senses. A traveling way of life. A gathering of analog lovers and performers of all kinds. A place to arrive, build, connect, exchange, flirt, create, rest and play..
We step away from the digital world and return to the present moment:
Analog sound and real presence — vinyl, tapes, reel-to-reel tape, synthesizer, live instruments, radios and warm human sound..
Come to visit us in person and let your inner child play."
"MUSEUM OF BAD ART","Downtown, grid square K19. Lower floor of the Barn (in the Living Room)","Art/Installation","🍑 Body-positive · 🐩 Pet-friendly","Welcome to the worlds first museum solely dedicated to Bad Arts, and the aesthetic, artistic and academic center for the Bad Arts movement."
"Camp of RA","Bison - North, grid square O20.","Art/Installation","","We are Sound Camp RA and will host a ""closing build week party"" on Monday. We obey the sun god RA and his fight during the night so we all get to have a new morning sunrise. We play weird ravy shit."
"The Interview 3.1","The Villa, grid square K14. Search for the villa that is placed next to sanctuary, enter and try to find The interview","Art/Installation","","Step into this interview, play, have fun, listen, listen, listen and then ask interesting questions, with a twist, if you want. Maybe you see yourself or your interviewer/interviewee in another light in this installation. A successful interview might have something hard and spanking nice for you.. 

Part of The Maze in the villa so opening times might differ."
"Confession Chamber","Highlands, grid square N09.","Art/Installation","","Next to our detective's bureau, a confession chamber opens. A small desk, a chair, paper and pens. What have you done wrong in Borderland? What are you ashamed of? Write it down and drop it in the mailbox — and be rewarded for your honesty with entry to the second chamber, where you'll see the (anonymous) notes of your fellow visitors and realize: nobody's perfect. The craziest and most ""forbidden"" things happen…"
"House of Glöd's *Pamper Temple*","Arctic chill, grid square P06. A blue Tent, there will be a sign","Art/Installation","🏳️‍🌈 Queer-inclusive","Step into a magical underwater world where relaxation meets creativity. Our wellness tent is designed to transport you into a dreamy oceanic realm, filled with shimmering colors and soothing sensations. Enjoy custom-blended massage oils, vibrant body painting, and artistic decorations. Treat yourself or get treated from us in our spacious cuddle corner. Let yourself be pampered in an atmosphere of pure enchantment! ✨️✨️✨️"
"Lazarones","Swamp, grid square S20. A dark tower, filled with light","Art/Installation","🏳️‍🌈 Queer-inclusive · 🐩 Pet-friendly · 💥 Sensory content","Welcome to the vibrant world of fotons, where smoke and mirrors may trick your brain, and forever leave the most beautiful stain. A tower of light - where dreams blend seamlessly in with reality!"
"The Altar of the Gods of Borderland","Wedge, grid square R22. The Altar location can be found out here.","Art/Installation","","It's time to pay our thankyous to the Gods of Borderland. You can bring your offerings, prayers and sacrifice. Opening on Tuesday."
"Resonant dreams","grid square Y15.","Art/Installation","","A light, sound and smell installation beneath the trees 🌳 On the path to the lake near Eastern Slope. Let yourself oscillate and dream away."
"Elven Saunacave and Dome","Sunny Hills, grid square H22. Next to the big Alversjoe lake at Sunnyhill","Art/Installation","","The Saunacave is built into the earth, warmed by a wood fire, offering ceremonies and lovely Aufguss sessions. The Dome is our space for gifting — live music, dance and ceremonies. Check the Noticeboard for daily programs. Open approx. morning till evening (sometimes night), except Fri & Sat night when we open according to our mood (: Bring a towel (obligatory to sit on) & drinking water. And lots of love ♥️"
"The Royal Snail","Everywhere","Art/Installation","🐩 Pet-friendly · 💥 Sensory content","Legs are for losers. Slimily and slowly royally sliding along the Borderlands is the new way to get anywhere. This is the Royal Snail - but roaming. The Royal Snail Art Car"
"Wondrous Forge","Swamp, grid square S17. In the swamp next to the fire Plaza, under a linen roof.","Art/Installation","😇 Sober · 🦍 Adults only · 💥 Sensory content","Show up drop-in, or even better, pre-book via mail since spots are limited! Contact me if you want to cancel or will get late, otherwise your place might go to a drop-in if you do not show up on time.
Want to brainstorm an idea beforehand Borderland? Contact me via email: fanny.henriksson1@gmail.com"
"Erotic Oscillations","Forest Cave, grid square K22","Art/Installation","","The 'Moaning Swings' art installation."
"The Germs","Arctic chill, grid square N06","Art/Installation","","A gaggle of germs bringing interactive art installations, workshops, big laughs and chill vibes."
"Floating Swing","Lowlands, grid square Q11","Art/Installation","","Somewhere between a playground and a daydream, this kinetic sculpture invites you to sit, sway… and maybe forget gravity for a while. Designed for 1–3 people, it takes the familiar language of a swing and teaches it to grow wings. Above, vast translucent sails — part butterfly, part underwater creature, part cosmos dancer — stretch nearly three meters wide, their burgundy organza shimmering with violet reflections."
"The Seagulls Nest","Highlands, grid square O11","Art/Installation","","Radical self-entertainment, tiny art, and shade. Connected to dream-area across the fire road.
Squak."
"Birds with a view (Seagulls)","Highlands, grid square O11","Art/Installation","","A lighthouse to guide you safely home to harbour. 
A place to hang out & experience the view of the chaos below. 
Tiny art & big birds.
The period palace."
"ArtistNest F33","Downtown, grid square M21","Art/Installation","","F33 project. A human-sized bird’s nest floating in the meadow. Climb in, steal inspiration, leave a sketch, and fly off with something new."
"The Sec☀️nd Sunset","grid square F23","Art/Installation","","A hydrogen balloon burns above the lake. Fire arrow, cello, a 4-metre spherical burn. A woof, not a bang. A second sunset."
"TheRoamingSnail","Lowlands, grid square P12","Art/Installation","","Royal Snail is on the move! Introducing...the Roaming Snail. Funky sounds, ridiculous shenanigans, slory holes, rum shots: all in a slow, snaily art carriage.

This is an art car, but we will probably also have some little events at our public facing offering."
"Tramsbulans","Highlands, grid square O09","Art/Installation","","Artcar camp with a ""busstop"" and a living room, our dreams is a tram that takes people around BL to pre set stops, for public offering we have a livingroom/lounge, and a ""start station"" for our tram(sbulance)."
"Secret Sailors","Lowlands, grid square R12","Art/Installation","","A workshop tent, art car, and confession booth. Offering speed dating and breakfast, daytime workshops"
"Ishara, Deity of the binding oath","Highlands, grid square N08","Art/Installation","","Ishara is a camp organzied around our scorpion shaped art car, which is both a light art piece at night and a DJ sound stage (with its own sound system onboard). We also offer a cozy tipi for anyone looking for a rain shelter, or a place to chill, play games and connect."
"chroma synesthesia","grid square K12","Art/Installation","","Cro-sy returns — bigger, stranger, and more inviting than before. Building on the audio-visual light installation that delighted audiences at the Borderland 2025, this second edition transforms into a full sculpture garden to wander through: a curated landscape of works past and present, all woven together by color, sound, motion and interactivity."
"Willy Wonka","Arctic chill, grid square L08","Art/Installation","","Come to explore trippy sculptures."
"The EGGzistence","Sunny Hills, grid square H21","Art/Installation","","The EGGzistence art installation represents the legend about the creation of the world. It is believed that Perkūnas or Thunderer (Thor) – the god of thunder and lightning in Baltic mythology, created the world by laying an egg, from which fire was born and that is how life in the world was created."
"Dreamer´s Maze","The Villa, old building","Art/Installation","","Dreamer´s Maze is an immersive interactive art experience, located in the Villa: 3 floors, 15+ rooms designed by different artists, connected by secret passages"
"Transcendental Forest Temple △✨","Eastern Slope, grid square X16","Art/Installation","","Transcendental Forest Temple 🛕✨ Your perfect hideaway from the hustle-and-bustle of Borderland. Deep in the trees, something is glowing 💫 Part art. Part altar. All playground for the soul. A space to wander, rest, create… or completely lose track of time. Come alone for deep reflection, or melt into the moment with someone you love. Follow the lights, leave an offering, lie back, look up, and let yourself drift 🌲"
"Echoes of Alversjö","First floor of the Barn","Art/Installation","","Echoes of Alversjö is an interactive soundmap of Borderland. 

Borderlings will be able to interact with the installation to hear sounds from the Borderland. When they move their hands in front of the map, it will play sounds corresponding to the area their hands are. This allows them to go on a sound-journey through Borderland, or to create their very own soundscape."
"Secret Sailors love boat harbour","Bison - South, grid square P24","Art/Installation","","The art car Secret Sailors love boat will find its mooring there different times during the week and offer singing, cruising, a bar and other fun. Also part of the harbour is the sister artcar of Circus Max."
"Mike Moe Money: Recommodify The Borderland","Highlands, grid square O12","Art/Installation","","Satirical ever-changing art project and info-zone, highlighting the creeping commodification of the Borderland.
Want to own your very own Mike Moe Money advertising board? Get rich selling ad space!"
"Nattfjärilar","Swamp, grid square R19","Art/Installation","","Art, Dance, Bar and daytime fun. supplied by dagsländor"
"🧭 The Enlightened and Erected Sextant","grid square O13","Art/Installation","","Just a Lighthouse. It's very lit."
"Piano in the Forest","grid square I12","Art/Installation","","Last years piano on the path to Muumimaa was appreciated by many. Borderland has unsurprisingly many piano players!"
"Flying van 🚐🛸","Arctic chill, grid square O07","Art/Installation","","We are a small group of storytellers with a flying van that will glow at night 🌌and will allow you to fly 🧚during the day"
"The Pit","grid square H17","Art/Installation","","The Pit is a sound experience during the night, taking place at a given moment announced later. The place is empty during daytime."
"G String","Swamp, grid square S17, Fire Plaza in front of Circus the Analogue","Art/Installation","","A piece of string and some blinky lights.  

Black Rock City's most fashionable art installation.  Simply place G String on your head and enjoy a 2 minute mind blowing experience.  This installation's evolution was guided by the 10+ Principles and exhibits them all simultaneously.  Thanks Fund33"
"Kagora","Forest Cave, grid square K22.","Art/Installation","","An 9m wide cozy, glowing sanctuary of spatial weaving with over 1km of programmable LEDs. Inspired by Japanese structural basketry (Kago)"
"The Sun","Sunny Hills, grid square I21.","Art/Installation","","The Sun is an immersive wooden space crowned by a glowing sphere — a symbolic sun suspended above. At its heart hangs a fire-place that welcomes and warms everyone.

We see The Sun as a light and soft space, away from intensity, to be with others or with oneself, to soften and drop into presence. There’s a strong sense of light and illumination, in the structural and light elements of its design as much as in the philosophy of the piece. May the Sun support whatever needs to come to light and come to life there. Ultimately, this space is a celebration of light."
"Tree of light","Swamp, grid square S17","Art/Installation","","It a interactive tree lighted by beautiful leds"
"The Humble Fish goes to Atlantis","grid square J12","Art/Installation","","Relaxed, immersive art installation where burners can gather beneath glowing fish, jellyfish, and soft underwater lights. Audio-reactive sculptures drift overhead as slow bass, bubbling textures, and distant chimes surround the forest. Co-created with kids from Kidsville."
"Sparkling forest","grid square J11","Art/Installation","","come play the piano and find out just how much it sparkles in the forest. or maybe it’ll attract the fae… take a chance and find out
 we have a specific ditch in mond and will use that, but for the sake of finding that god forsaken ditch, we’re reserving more area. contact us if you need!"
"The Octopus of your mother","grid square S21","Art/Installation","","Chill space which adores octopuses and cats"
"The Void","Forest Cave, grid square J23","Art/Installation","","Infinite Hippy Trap!

Step inside The Void — a shimmering silver cube that seems to have slipped through a crack in reality and landed at The Borderlands.

Built from reclaimed materials and fresh from Burning Nest and Nowhere, The Void returns bigger, bolder, and more mesmerising than ever.

Whether you’re seeking a moment of calm, a spark of wonder, or a full-on mind-bending experience, The Void invites you to step inside… although you might find more than you bargained for within!"
"The drop","Forest Cave, grid square J23","Art/Installation","","The Drop is a giant shiny suspended sculpture that looks like it's about to descend from space into the Alversjö playground — and when burners turn the lever, it sounds like it too. By day it gleams like an oil drop, futuristic and surreal; by night, silver/blue lighting gives it a water-like halo — mystical, hopeful, earthly and alien all at once. Switch the lights to yellow and red, and it becomes a burning flame."
"The Listening Forest","grid square H12","Art/Installation","","The Listening Forest is a place for sound installations and other listening experiences."
"The Temple of Digital Oblivion","Forest Cave, grid square L22","Art/Installation","","The Temple of Digital Oblivion is a place to let go of your digital memories. You discover a shrine in the forest. You choose a picture and upload it to the installation (thanks to an app that you can pre-download or get on site via wifi). The picture is projected onto a wall of mist and once it dissolves, the photo gets deleted on your phone

This installation is very likely to move somewhere totally elsewhere"
"Almost-a-bridge","Forest Cave, grid square J22","Art/Installation","","Almost a bridge. Almost connecting till Hills and the temple area. Not for human consumption"
"Remember The Remnants","Arctic chill, grid square M07","Art/Installation","","Did you know that not EVERYBODY will go to Borderland?
That's right, 99% of people are left behind!
We're here to serve as living reminders, and you can too!"
"WYSIWYG","Missing Piece, grid square O17","Art/Installation","","A telescope with headphones, overlooking Borderland."
"Alice the Malice in Wonderland","Wedge, grid square R20.","Workshop/Class","🐒 Kid-friendly · 🍑 Body-positive · 🐩 Pet-friendly","Somewhere between logic and nonsense, lays the wonderland of Alice the malice.

Shenanigans will happen everyday at 15:00 from Monday to Friday: Hat pimping workshop, fuzzy story reading time, our nutritious mad hatter tea party and other elusive surprises 🎩 ✨

We're all mad here, so shall we?"
"Reverse Pick-Pocketing","Highlands, grid square N11. Bedouin Tent communal space in the middle of the Cheeky Butt Chill Camp","Workshop/Class","🐒 Kid-friendly · 🍑 Body-positive","Slip into the role of an undercover gifter! Learn to discreetly place small gifts on people — without them noticing — through three stages of reverse pick-pocketing, distraction and body movement. Hands-on pair practice, lots of laughter. Wear something with accessible pockets (hoodie, cargo pants). No experience needed — just curiosity and respect.You said: Looking for that perfect accessory to take your Borderling Ensemble for the evening to the next level?"
"The Chilldome","Highlands, grid square M11. Big dome on the Penta Plaza.","Workshop/Class","","One moment you’re surviving Borderland. The next you’re horizontal. Welcome to Chilldome, where pillows, blankets, beautiful lights, and a cozy atmosphere await. Stay for a moment, or until you forget why you came."
"Chateau Vadeau","Lowlands, grid square U13.","Workshop/Class","","A tiny château where curiosity is always on tap. Hidden between noble ambitions and terrible decisions, Château Vadeau welcomes wanderers, weirdos, artists and accidental aristocrats. By day we craft strange symbols and leave our marks on each other; by afternoon the courtyard becomes Tacos & Techno — sizzling food, cold craft beer, infectious beats. Come for a tattoo. Stay for a taco. Or drop by for whatever unexpected magic happens when good people gather."
"KISHMASTLE SPACESTATION","Muumin Valley, grid square F10. From Sanctuary- follow the forest path toward the valley. Where the forest meets the valley, take a left and enter the gate of Alvheim, cross the bridge on your right and enter the spacestation (or look for a big ass spaceship and listen for banging music)","Workshop/Class","💥 Sensory content","The Kishmastlers have travelled space and collected music from all over the universe! Every day represents the sound and theme of a different planet. During daytime we have invited Bordelings to hold space (pun intended) gifting workshops, sound journeys and shenanigans. Wednesday is daytime party! Bring your quirkiest look (Ducks prioritized)"
"The Fuckery","Swamp, grid square R17. Go to the empty dark field and look for the fuck-off ""Fuckery""sign in the Swamp across the ditch","Workshop/Class","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive · 🏳️‍🌈 Queer-inclusive · 💥 Sensory content","The Fuckery: Borderland's most unapologetic and sexiest camp cum community. Not a tantra workshop, BDSM playparty, swingers get-together or burner rave — we bring worlds together, with hosts like your nosy grandmother if she was also your fuckbuddy. Mindblowing workshops, hair-fucking PlayNights, and performances that leave you whispering ""Fuck Yeah!"""
"Tea by the Sea","Bison - South, grid square Q23. The red tent, on the hill, in the sunset.","Workshop/Class","🐒 Kid-friendly","The legendary sanctuary for your senses returns, serving weird and wonderful teas in a weird and wonderful way! We, a talented gang of misfits, invite you for tea and ceremonial happy hours. Step into our famous red tent, where time slows down — world-class teas, creative workshops, live music, DJ sets and a cozy fireplace. A welcoming space for deep conversations, unexpected art, and magical moments."
"Silly Studios","Bison - North, grid square N19. In Jam Camp","Workshop/Class","","Come in, tell me a story, we will turn it into a song and record it. In max 30 min. Quality may vary."
"Lovelies","Arctic chill, grid square M05.","Workshop/Class","","Just lovely :)"
"Den of the Golden Foxes","grid square Q23. Enter by the treehouse","Workshop/Class","🍑 Body-positive · 🖤 Sex positive","We invite to playful, consent-based intimacy in a magical fox den where we explore presence, curiosity, and transformation by roleplaying the golden foxes."
"The Pollution Pixie","Swamp, grid square S17. Find me on the playa by following the sprout hair clips or come to my home at the Fire Brigade","Workshop/Class","🐒 Kid-friendly","Why do we not burn treated wood? Why is eco-friendly soap and sunscreen important? Why can I not wear my pretty glitter? Peeing in the bush is fine, right? Take a short quiz about how the products and chemicals we use at Borderland affect organisms in the environment and get a cute prize!"
"Hypnotic handcraft","Lowlands, grid square T13.","Workshop/Class","😇 Sober · 🐩 Pet-friendly","Drop by and get swept into the mesmerising world of crochet and handcraft! No prior experience needed — just curiosity. We provide all materials. Come overflowing with ideas, or completely blank, and leave with a small handmade memory to carry through the week.

Wednesday, 12.30-16.30"
"Secret Garden","Downtown, grid square M21.","Workshop/Class","","The Garden offers a place to slow down, land and reconnect — with yourself, with others, with nature and with what is actually here.

We offer events focused on presence and connection incl. daily circling sessions, serve pancakes and invite you to come and spend time with the garden and gardeners."
"Cloud Cartel","Highlands, grid square P11.","Workshop/Class","","Letting people ride the bunny and unicorn on a a cloud of fluff."
"Once Upon A Dream","Arctic chill, grid square O07. Look for our sign, and a big beautiful beige canvas tent with fairy lights","Workshop/Class","🐒 Kid-friendly","A place to return to when your inner child longs to be comforted and norished. Let us read you bed time stories, sing you lullabies & serve you blueberry tea. Look for our stuff in the guide, but more than that: look for our pop up schedule and signs in the arctic chill <3"
"Tantric Trolls","Highlands, grid square N11. Penta Plaza in the Highlands","Workshop/Class","🦍 Adults only · 🍑 Body-positive","The Tantric Trolls invite you into a space where connection becomes something you can feel in the body — a glance, a breath, a boundary, a yes, a no. Through embodied rituals and guided workshops, we practice listening to desire without losing ourselves, expressing truth with clarity and respect, and discovering the tenderness that emerges when people dare to be real together. A place for courage, softness, consent and intimacy."
"The Vanilla Knot Club","Downtown, grid square K19. Big barn, 1st floor, next to Lucifer's Pit (the silo).","Workshop/Class","😇 Sober · 🐒 Kid-friendly · 🏳️‍🌈 Queer-inclusive · 🐩 Pet-friendly","We will go through some basic rope and knots skills that will help you and your camp through the next days. Beginner to advanced. No skills needed. BYOR (bring your own rope - if you have one) 
Disclaimer: We will only tie on non-living things. If you want to tie humans/lovers together, this is not the workshop you are looking for."
"Cuddle Cloud ☁️","Wedge, grid square R21","Workshop/Class","","Warm and cozy 7 m diameter bell tent for workshops at day and deep talk at night."
"Yggdrasil","Highlands, grid square O10","Workshop/Class","","Yggdrasil we have a tipi and welcome you to host workshops in it."
"Beaver Issues","Arctic chill, grid square P07","Workshop/Class","","A cosy camp of Beavers offering beavery things, like cucumbers for your sauna eyes and pickles for your soul.

We will have a 75m2 strech tent for hanging out and also workshops / public offerings."
"Tipi Workshoparea - Rituals & Ridicules","Arctic chill, grid square M04","Workshop/Class","","This tipi tent will offer many different workshops including AA-meetings, ACA mettings and other workshops"
"LAZY CAMP - LAZY TREATS HOUR","Follow the cheesy toasts smell","Food/Drinks","🐒 Kid-friendly","When you've packed up all of your mojo, your tent feels impossibly far away, and truthfully.. you've got a tiny existential wobble brewing, come find us. Lazy Treats Hour will serve you hot toasties, silliness and giggles, plus a generous serving of camp love. Survival, but make it fabulous."
"Schorle Bar","Swamp, grid square R18. Directly at the Water Plaza in the Swamp","Food/Drinks","","Feel the bubbles and the ocean at our underwater-themed bar filled with non-alcoholic Schorle and playful bartenders. Don't know what Schorle is? Come find out!"
"Vegan Waffle Wagon","It's portable! Usually quite central.... A four wheeled wagon with striped red & white roof, striped black & white sides. Usually a queue of hungry hippies and good (often weird) music!","Food/Drinks","🐒 Kid-friendly · 🐩 Pet-friendly","Vegan. Life-altering. Sourdough. Waffles. With homemade toppings!

The Vegan Waffle Wagon will be here and there. Also appearing at some parties, happenings and workshops. Come find us if you want to eat (or maybe serve) waffles!

We will have a printed schedule where you can sign up for a waffle serving shift!"
"CAMP NIMENOMA","Highlands, grid square M13. We got a lot of lamps and and two large tents. We are located close to the sanctuary in the left bottom part of the Highlands","Food/Drinks","","Welcome to Our Camp
We've got a cozy living room with soft hay bales, lots of warm lights, and a bar right in the middle with some good background music. Everything you need to start your evening off in the best way."
"The Divine Dough Sanctuary","Wedge, grid square R22.","Food/Drinks","🍑 Body-positive · 🏳️‍🌈 Queer-inclusive · 🐩 Pet-friendly","A cozy retreat from all the chaos: fire-heated bell tent, crackling outdoor fires, artisan pizza, live acoustic music. Slow down, stay awhile, and replenish both body and soul."
"Coffee & Contemplation","Swamp, grid square S19.","Food/Drinks","","Come for semi-self-organized coffee of your choice (moka, phin, cezve, filter) and radically dangerous contemplative process (fortune telling, mug-reading, and more). Located in the waiting room of the reception of The Bureau of Justice, Joy, Bubbles, and Other Dangerous Ideas. Bureau APPROVED!"
"Crocket Corner","Swamp, grid square U16. Look for the neon-lit croquet court!","Food/Drinks","🐩 Pet-friendly","Let's have a vacation! Bring your most awesome vacay-mode to The Crocket Corner — play croquet, sip crocktails, and enjoy a croque monsieur, served by chatty bartenders and a grumpy old grandpa. Let the traditional ""Swedish vacation"" begin! Croquet court open most non-curfew hours; bar open Tue–Thu 19–21. Grand Opening Tuesday with a croquet tournament — experts and beginners (with or without luck) welcome! Kids can play anytime except bar hours."
